Date : 2023-10-17 10:26:31
Directory : c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource
Total : 58 files,  1004 codes, 31 comments, 143 blanks, all 1178 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerChatMessage.cs                                 | C#         |         29 |          0 |          6 |         35 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerDisconnectMessage.cs                           | C#         |         21 |          0 |          4 |         25 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerInputMessage.cs                                | C#         |         33 |          0 |          5 |         38 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerKnockbackMessage.cs                            | C#         |         31 |          0 |          7 |         38 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerPickTalentMessage.cs                           | C#         |         43 |          0 |          6 |         49 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerRegisterMessage.cs                             | C#         |         35 |          2 |          5 |         42 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Messages\Player\PlayerStateMessage.cs                                | C#         |         35 |          0 |          7 |         42 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Networker.cs                                                         | C#         |         39 |          0 |          4 |         43 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Reader.cs                                                            | C#         |         67 |          0 |          6 |         73 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Networking\Writer.cs                                                            | C#         |         29 |          0 |          7 |         36 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Server.cs                                                                       | C#         |         55 |          4 |          9 |         68 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\ServerSettings.cs                                                               | C#         |         12 |          5 |          3 |         20 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Util\Helper.cs                                                                  | C#         |         44 |          0 |          5 |         49 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\Util\LogTypes.cs                                                                | C#         |         12 |          0 |          2 |         14 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs                 | C#         |          3 |          1 |          1 |          5 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Debug\net6.0\HourSocketServerCS.AssemblyInfo.cs                             | C#         |          9 |         10 |          5 |         24 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Debug\net6.0\HourSocketServerCS.GeneratedMSBuildEditorConfig.editorconfig   | Properties |         11 |          0 |          1 |         12 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Debug\net6.0\HourSocketServerCS.GlobalUsings.g.cs                           | C#         |          7 |          1 |          1 |          9 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\HourSocketServerCS.csproj.nuget.dgspec.json                                 | JSON       |         77 |          0 |          0 |         77 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\HourSocketServerCS.csproj.nuget.g.props                                     | XML        |         16 |          0 |          0 |         16 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\HourSocketServerCS.csproj.nuget.g.targets                                   | XML        |          2 |          0 |          0 |          2 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs               | C#         |          3 |          1 |          1 |          5 |
